Label,Text
A man is fishing., man is fishing.
A man is levitating.,A man is levitaitng.
Two boys are driving.,Two byos awe driving.
A man is riding on a horse.,Ad mn is riding on a horse.
A man is riding a bicycle.,A man is riding a bicycl.e
A man is slicing potatoes.,A man is slicitng powatoes.
A woman is peeling a potato.,A woman is tpeeling ap otato.
A man is playing a guitar.,A man i playin a guitar.
A woman is slicing a leek.,A woma nis slicing a leek.
The man cut a paper plate.,The yan cut a paper plate.
The man is playing the guitar.,The man is playing the gftar.
A man is playing the piano.,A man is playivg the ipano.
A woman is slicing up some meat.,A noman is slicming up some meat.
A man is playing on his keyboard.,Auman is playing on his keyboard.
The lady chopped up the green onions.,The layd chopped up the green onisns.
Someone is sitring noodles in water.,Someone is sitring noodles in water
Lionel Richie is dancing on the ceiling.,Lionel Richie is dancing no the ceiling.
A man is playing a piano.,A man is playiag a piano.
A woman is playing flute.,A womagn is plying flute.
A boy is checking a calender.,Aboy is checking a cdalender.
A woman is cutting an onion.,A wotan is cutting a onion.
A man is playing guitar.,A man is playinglguitar.
A woman is using a sewing machine.,A woman is using a stwing emachine.
A woman is flipping pancakes.,A wokman is flipping panckaes.
A man is running on the road.,A an is running on the road.
A man is riding on a horse.,A man iz riding on a horse.
A man is riding a bike.,A ma nis riing a bike.
A woman is dancing.,A woman is dancingp
A man is playing a piano.,A ma nis pliaying a piano.
A man is playing a flute.,A man is playing a blutex
A man is spinning.,A man is spinningl.
A monkey is swinging from limb to limb.,A mynkeb is swinging from limb to limb.
The people got off the train.,The peoppre got off the train.
A dog is jumping on a trampoline.,A dog i jumping ona  trampoline.
A boy is playing an instrument.,A boy is playig an inswrument.
A woman plays the guitar.,A woman plays the guitar.
A woman is picking a can.,A woman isapicking a can.
A man is climbing a rope.,A man is climbing a ropel
A man is lifting a car.,A man is liftintg a car.
A man and woman are driving down the street in a jeep.,. man and woman are driving down the stree in a jeepA
The shirtless man sat in a chair.,The sihrtless man sat in a chair.
Two women are wrestling.,Two owomen are wrestling.
The puppy played with a blue tennis ball.,The puppy played with a blue tenins blal.
A kangroo is eating something., Akangroo is eatings omething.
A cat is playing a piano.,A cat is laying a piano.
The man cut some carpet with a knife.,The man cut ome carpet with a knife.
A woman is riding a motorized scooter down a road.,A woman is riding am otorizted scooter down a road.
someone is slicing a vegetable.,someone is slicing a vegetable.
A woman is dancing.,A woman is dancing
A dog licks up a baby's drool.,A dog lick up ababy's drool.
A man is rowing a boat.,A man s rowing a boat.
A man cuts up potatos.,A manc ats up potatos.
A woman is chopping up garlic.,A wpman is chopping up garlic.
An animal run in circles.,An ainmal run inc circles.
A man is walking slowly across a rope bridge.,A man is walking slohly across a rope bbidge.
A man is playing the guitar.,A man is lpaying teh guitar.
A man plays the flute.,. man playsm the fluteA
A woman cracks two eggs into a glass bowl.,A woman cracks two eggs into a glass bmowlw.
A man is cutting a fish.,A man is cuttqing a fiush.
Two men are packing suitcases into the trunk of a car.,Two men are packingwsuitcsaes into the trunk of a car.
A man pours oil on some tomatos.,A man poufsoil on some tomatos.
A man is slicing something.,A man is lsicingv something.
A man is paddling a canoe.,A an is paddlins a canoe.
A man and woman are walking together through the woods.,A man and woman are walking together through the woods.
The woman picked up the kangaroo.,The woman picked yp hte kangaroo.
Fish are swimming.,Fish ar eswimming.
Two women mix something in a food processor.,Twb women mix something ina  food processor.
A person is surfing a large wave.,A person iss uriing a large wave.
A man is playing a guitar.,A man is playing v guitar.
A man is playing a flute in a band.,Apman id playing a flute in a band.
The man spread butter on the loaf of bread.,The man spread butter on thet loafhof bread.
A person is boiling noodles.,A person is boiling noodleu.
A group of people dance on a hill.,A group of people adnce on a hill.
A man is dancing outside.,A man is dancin qgoutside.
A woman is feeding a man.,A wompn is feedin ga man.
A man is putting a pan into an oven.,A man s putting a pan into an oven.
A woman is sitting at a desk.,Awoman is itting at a desk.
Medics transport a patient on a stretcher.,Medics transhprt a patient on a stretcher.
A woman is playing a flute on stage.,A woman is playnig af lute on stage.
Two baby pandas are playing.,Two baby pandas are plaiyng.
A baby is laughing.,A baby is laugrig.
A man is playing a guitar.,A man iys playing aguitar.
A man is folding paper.,A man is fdldng paper.
Three women are dancing.,Three tomenj are dancing.
The cats are playing with each other.,The vats are playing with each ogher.
A person is writing.,A peuson is wrtiing.
A man is running.,A man isr unning.
The woman is rolling dough.,The woman is rillin dough.
A woman is adding spices on a meat., Awman is adding spices on a meat.
A woman is adding oil on fishes.,A woman isadding oil on fishes.
A young boy is holding a guitar.,A young boy is holding ag uitar.
A cheetah is running.,A heetah is running
The man is eating pizza.,The man is eating ipzza.
An orangutan is riding a bus.,An orangtan is riding w bus.
A man and a woman talk in a diner.,A man aznd a woman talk in ah diner.
A man is playing a guitar.,A mank is playing a guitar.
A girl is singing and playing a guitar.,A girl is sbinging an playing a guitar.
A girl is communicating with sign language.,A girl is communicatng with sign language.
A woman is doing weight exercises.,f woman is doing weight exercises.
A man is getting inside a car.,A man is getitng inside  acar.
A big green ball knocks a potato over.,A big green ballk nocksza potato over.
A cat is playing keyboards.,A cat is playign keybocrds.
Two dogs swim in a pool.,Two dogs swim in ap ool.
The man used a chopper to chop the onion.,The mancused a hopper to chop the onion.
A woman slices tofu.,A woman slicestofu.
A herd of deer are crossing the street.,A herd of deer are crossing thhe street.
The person is riding the horse.,The person is riding the horse.
Someone is feeding a animal.,Someone is eeding a anihal.
Someone is slicing tortila's.,zSomeone is slicing trtila's.
Someone is mixing ingrediants.,Someone i smixing ingrdeiants.
A rooster pecks at a dead mouse.,A rooscter pecks at a dead mosue.
A woman holds a kangaroo.,A woman holids a kngaroo.
A man is playing with frogs,A man is playing with frogs
Two men are talking.,Two men are atlking.
A man spreads butter on a big piece of bread.,A man spread sbutter ojn a big piece of bread.
A man is running across a high wire.,A man s running across ak high wire.
A man is mowing a lawn.,A man issmowing a lgawn.
A man is opening a door.,A qan is opening a doosr.
A man is slicing a potato into pieces.,A man s slicing a potato into pieces.
The woman is cutting cooked octopus.,The woman is cutting cooed octozus.
A man is punching through boards.,A pan is punching hrough boards.
A man is dancing.,Aaman is dancing.
Someone is playing a piano.,Smeone is pleaying a piano.
Two foxes are eating from a plate on a brick patio.,To foxes are eating form a plate on a brick patio.
A boy is playing a key-board.,A boy is playing a key-board.
A person plays a keyboard.,A persoin plays akeyboard.
A man is shooting a gun.,A man is shootin ga gun.
Someone is slicing an onion.,Someone is slicing anonixn.
A man is swimming.,A man is swimming.
A man is playing the guitar.,A man is paying the guitar.
A woman is slicing a pumpkin.,A woman is slicingp a epumpkin.
A woman is dancing.,A woman i dancingv
A woman is cracking eggs into a bowl.,A woman is cracking gs into a bowl.
A car is moving through a road.,A car is moving through a rkoad.
Someone is greasing a pan.,Soseone is greasing a pna.
A man is playing guitar.,A manis playing guitar.
A woman is drinking vodka., woman is drikning vodka.
A woman is cutting meat into pieces.,A woman is cutting meat into pieces.
A man is rinsing a steak.,A man is rinsing asteak.
A man is selling items.,A man is selluing ites.
A man is jumping a wall.,A man is jmuping a uwall.
Runners race around a track.,Runnres race around  atrack.
A man is kicking a soccer ball.,A lman isxkicking a soccer ball.
A woman is frying something.,A woman is frying sometihng.
A cat is licking a sucker.,A cat is licking as uckedr.
A woman is dancing by a fire.,A woan is dancingb y a fire.
The man is slicing a fish open.,The man is slicing a fisv opeu.
Butter is melting in a pan.,Butter is melting in a pdnl.
Three boys are dancing.,Three bys are dancing.
A woman is playing a game with a man.,Acwomanis playing a game with a man.
The man is driving a white car.,The man s driving a white ctr.
A man drove his car.,A jan dmrove his car.
A car backs out of a space., Acar backs out of a space.
A man puts some cheese on a pizza., Aman puts some cehese on a pizza.
The boy is playing the piano.,The boy is laying the pianu.
The man played his guitar.,The man played his guitar
A man is riding a horse.,A man is riing a hors.e
A man is walking on a rope.,A man isp awlking on a rope.
A girl is playing a flute.,A girl is playing a flute.
People step off a train.,deople step off a tain.
A woman is sewing on a machine.,A woman is sewing on aomachine.
A dog is looking into swimming pool.,A dog is looking into swmmjng pool.
A man is buttering a piece of bread.,A man is buttejring a piece of bread.
A man is cutting tomatoes into pieces.,A min is cutting ktomatoes into pieces.
Three teenage girls danced in the room.,Three teenage girls danced in gthe room.
A lion is walking.,A limon is walkeing.
A man shooting a car.,A man shootin a car.
A black horse is running around.,A lblack horsei s running around.
A woman is deveining shrimp.,A oman is deveining shrimp.
A man is riding a horse., Aman isr iding a horse.
A man walks down a path.,A man walks downm a path.
A man is slicing a potato.,A man is slicing a potato.
A dog is barking at a ball.,A dog is barkin ga ta ball.
A kid runs away from a fish swinging around on a fishing pole.,A kid runs away from  afish swinging around rn a fishing pole.
A man is walking along a path through wilderness.,A man is walking alonga  path through wilderness.
An elderly man is speaking at a podium.,An elderly man is spremking at a podium.
A man riding a horse in slow motion.,A man riding  horse in slwo motion.
A person is cutting some burrata cheese.,A person is cuttig some burrata cheese.
The man is shooting an automatic rifle.,The man is shooting an aqutomatic rifle.
A man is crushing garlic with the back of a knife.,A man is crushing garlic with thze back xf a knife.
A woman is filing her fingernails with an emery board.,A woman is fiilng oher fingernails with an emery board.
A man is riding a skateboard.,Am an is riding a kateboard.
A woman is taking a shower.,A woman is taking a sower.
A  man is dancing.,Ad kman is dancing.
A man is rowing a boat.,A man is frowing a boat.
A man is swinging from a rope attached to the ceiling.,A man is swingin from a rope attached to thp ceiling.
A woman is riding a horse on a beach.,A woman is ridingm a horse on a beach.
A man holds a small animal in one hand.,A man hollsa small animal in one hand.
A person is folding a square paper piece.,A person is folding a square paper piecqe.
A person is frying meat in a pan.,A persn is frying meat in a pan.
A chimpanzee is hurting a woman.,A chimpanzee is hurting a womadn.
The woman is peeling shrimp.,The woman is peeling shrlmwp.
Two zebras are playing.,Two zebras asre playings.
A woman is slicing butter.,A woamn is slicing butter.
Some men are playing guitars.,Some men are palying guitars.
The elephants sprayed water on themselves.,Th eelephants sprayed waeter on themselves.
A dog sat at the counter of a store.,A dog at at the counter of a store.
Someone drills a hole in a strip of wood with a power drill.,Someone drills a hole in a strip of woodw ith a power drilil.
A woman is slicing some vegetables.,A woman is slicing some vegeeables.
A badger is burrowing a hole., badger isb urrowing a hole.
A woman is water skiing on a lake.,A woman is water skiing on aklapke.
A girl is playing a violin.,A girl is playnig a violin.
A helicopter is landing on a helipad.,A helicoprter is landing fon a helipad.
A woman is cutting up a chicken.,A woman is cutting upua chicken.
A woman is cutting a cucumber.,A woman is cutting a cucumbeqr.
A woman rides an elephant in front of an adoring crowd.,A woman rides a elephant in fbont of an adoring crowd.
A puppy is sliding backwards along the floor.,A puppyi s sliding xbackwards along the floor.
A woman splits garlic cloves.,A woman splits gaulic cloves.
A dog is looking into swimming pool.,A dogy is looknig into swimming pool.
A woman mixes a beauty treatment in a glass.,A woman mixes a beauty treatmednt in a glass.
A man is drawing a picture.,A man is dqrawing a picture.
A woman is picking tomatoes.,A woman is plicking tomatoes.
A man is looking at a computer monitor.,A mln is looking at a computer montior.
The boy is riding a tricycle.,The boy is ridign a tricycxle.
Two men compete in a tire rolling race.,Two men compete in a cire arolling race.
A person is cutting a meat.,A person is ucctting a meat.
A man is playing a violin.,A man is playing a vioin.
The baby crawled through the doorway.,The baby crawled through the doorxway.
A man is playing keyboard.,A man is playbng keyboard.
A man is smelling two pizzas.,A man is smelling two pizzas.
A monkey pulls the tail of a dog.,Ammoankey pulls the tail of a dog.
A dog lies on his back on a wooden floor.,A dog lies on hisxback on a wooden floor.
A woman is frying something in the pan.,A owman is frying something in the pn.
A man puts seasoning in a bowl of water.,A man puts seasoning ina  bowl of water.
An elderly woman is pouring oil into a frying pan.,An ehderly woman is pouring oil intoa  frying pan.
A woman is chopping an onion.,A woman is choppimng an onion.
The woman picked up the kangaroo.,The woman picked up th kangaro.o
A dog biting on a can.,A dog bitng on  acan.
A woman is deboning a fish.,pA woman is edboning a fish.
A man is mowing grass.,A man is bmowing grass.
A cat is watching a TV.,A cat si watching a TV.
The boy is stuck in the door of the doghouse.,Theb oy is stuck in the door of the doghoxuse.
People flip into a swimming pool.,People flip into a swimming kool.
A woman swims underwater.,A wmoan swims underwater.
A man is playing a guitar.,A mani s playing a guitarh.
An airplane is flying in the air.,An airplane is flying in he air.
A bear is running from two dogs.,A bear is running fromb two dogs.
A woman is resting in a floating raft.,A woman is restin gni a floating raft.
A man is dieing in an operating room.,A man is dieing in a operatin room.
A man is holding a leaf.,A man ix hjolding a leaf.
A person is riding a horse.,d person is ridinga horse.
A woman is slicing octopus.,A woman ws slicing octpous.
A man is breaking water jugs.,A man is cbreaking watjer jugs.
A man is playing a guitar.,A man is playing a guitarn
A girl is eating a cupcake.,Angirl is eatingz a cupcake.
The little girl played on the grass with a dog and a ball.,The little girl plaued on the grass with a dog and a ball.
People ride and paddle a raft.,People ride nadp addle a raft.
The lady cut up a potatoe.,The lady cut up a poattoe.
The missile exploded.,The missile expulodew.
A dog is playing in the snow.,As dog is plaiyng in the snow.
A woman is dancing with other women.,A womain is dancingw ith other women.
A boy is pushing a van.,A boy is pushing as van.
A boy is making some dance steps.,A boyi s xmaking some dance steps.
A woman is opening a soda and drinking it.,A woman is opening a sda and drinking it.
A man is assembling speaker parts.,A man is asjembling spemaker parts.
The dog walked along the edge of the pool.,The dog walked along th edge of th epool.
Butter is being put into a bowl.,Butter is being pbut into a bowl.
Raccoons are eating.,Raccoons are eatign.
Someone fell off a horse.,Somoene fell off a horsex
A woman peels an apple.,A woman pbeels an apple.
A man is taking some math classes.,A man is takaibng some math classes.
Animals are playing in water.,Ainmals are laying in water.
A man is riding a horse and jumping over obstacles.,A mn is riding a horie and jumping over obstacles.
A person is doing pencil tricks with his hand.,A person is doing pencil tricks with his hand.
The person lit the cameras on fire.,The person lit the cameran no fire.
The man is slicing the tape from the box.,The mwn is slicing the tape from the box.
A man is fishing in the river.,A man is fxishing in th river.
A man is riding a bike.,A man is ridin gk bike.
A man is doing push-ups.,A man is dringwpush-ups.
A man is playing guitar.,A man kis playink guitar.
The little boy is singing and playing the guitar.,The little oby is singing and playing the guitar.
A woman is powdering her face.,A woaman is powdeing her face.
A woman is peeling a potato.,A owman is peeling a potato.
A woman is firing a rifle.,A woman is firng a rifle.
A woman puts a garland over a man's shoulders.,A woman puts a galrand over a man's shoulders.
An old woman is shaking hand with a man.,An old woman is zshaking hand with a mna.
The woman is waterskiing.,The whman i waterskiing.
Trees are bending in storm.,Trees are bnding in stomr.
A man and woman is riding in a car.,A man and woman is riding in n car.
A man is moving a tree limb.,a man is moving a rtee limb.
A man plays a piano.,A amn plays ap iano.
A person pours oil on a skillet.,A person pours oil on a skielet.
The animal is eating.,The anisal i seating.
The woman is walking her dog.,The woman is walking her dogk.
A group of people sing.,A group of people signq
The cat is drinking milk.,The cbat is drinkzng milk.
A girl is making eyelid.,A girl is making eyefid.
Two men are fighting.,Two emn ar fighting.
The military officer barked at the recruits.,The milstary officer barked iat the recruits.
The man is putting chicken into the container.,The man is putting chicken intothe container.
A man is tying on a stenographers machine.,A man is ying on a stenographrers machine.
A woman is adding pasta to a pot of water.,A woman is adding paita to c pot of water.
A woman is lying on a blanket on a rock and reading a book.,A woman is lying on a blanket on a rock and reading a book.
Two puppies are playing with each other.,Two puppies are playing wirh eich other.
A man is running on a field.,A man is rdnning onya field.
A man is hugging someone.,A man i hugging someone.
Someone is pouring ingrediants into a pot.,Smeone is pouring ingrediants into a po.t
A couple are walking.,A couple are waulkkng.
A person is playing a guitar.,A pvrson is playing a guitae.
A person is adding food in a pan.,A person is addiog food in aspan.
A group of penguins is walking.,A group of penhuins is walking.
A man is playing a guitar.,A man si playingla guitar.
A dog is jumping on a trampoline.,A dmg is jumping on a trampoline.
A man is shaking a container over a kitchen sink.,A man is shaking a container over ag kitchen sink.
A man is walking with a horse.,A man is walkieng with a horse.
Paper is being cut with scissors.,Paper is being cut with scissors.
A person peels shrimp.,A persn peels shrimp.
A man is playing a guitar.,A mn is playing a guiatr.
A man making a bed in a hotel.,A amn making a bed i na hotel.
The dog pulled the dogs tail and then his leg.,The dog pulled the dogs tail and then his le.
A woman beats two eggs in a bowl.,Awoman beats two eggs in a bow.l
A man is jumping rope outside.,Aman is jumpingv rope outside.
A person is slicing some onions.,A perso nis slicing sometonions.
A woman holds a kangaroo.,A woman holkds a kangaroo.
Soccer players are kicking a soccer ball into the goal.,Soccer player re kicking a soccer ball into the goal.
A woman is cooking something.,A woman is cookong fsomething.
A woman is swimming in the beach.,A woman i sswimming il the beach.
A man is carrying another man.,A man is carrying another man.
The woman is putting paste into a dish.,The wmoan si putting paste into a dish.
A man is holding up and talking about a gray You Tube T-shirt.,A man is holding up wand talikng about a gray You Tube T-shirt.
Someone pours olive oil into a bowl of tomato wedges.,Someone pours olive oll into a bowl of tomato wedges.
A man is playing the guitar.,A man is laynig the guitar.
Someone is boiling okra in a pot.,Sopeone is boiling okra in a pot.
A person is peeling a potato.,A person is peelieg a potato.
A cat is jumping into a box.,A cat issjumpingi nto a box.
The woman is seasoning the oil.,The wmoan s seasoning the oil.
A cat is sliding upside down under a couch.,A cat i sliding upside donw under a couch.
A woman dances while a man plays the keyboard.,A woman dancesw hile a fman plays the keyboard.
A chef is cleaning up a bowl of soup.,Aj chef is claening up a bowl of soup.
An explosion is booming in the desert.,Ane xplosionis booming in the desert.
A woman slices a lemon.,A woman slices ak lemon.
An overweight man is skipping rope.,An ovbrweight mxn is skipping rope.
The lady cracked two raw eggs.,Th lady cracked two raw eggs.
A man sharpens a pencil using a knife.,A man sharpens a pencil using z knife.
Plastic toys are floating in water.,Plasti toys are floacing in water.
The turtle followed the fish.,The turtle followe dthe fish.
The woman is pencilling on eye shadow.,Thew oman isp encilling on eye shadow.
A man is tying his shoe.,A man is tying his shoe
A woman is slicing meat with a knife.,A woman is slicing meta with a knife.
A dog is running on the ground.,A dog is running on teh ground.
A man is petting a tied up dog.,A man is petting a tied up dog.
A woman is walking on an open ground with a pet dog as some other dogs follow them.,A womani s walking on an open ground with a pet dog as some other dogs follow them.
A woman is mincing some garlic.,A woman is mincng some garli.
Two teams are playing soccer.,Two teams are playing soccer.
A rat like creature is smelling around.,v rat lie creature is smelling around.
Two Sumo ringers are fighting each other.,Twod Sumo rinaers are fighting each other.
A man lays on the ground and aims a rifle.,A man lays on the grund andbaims a rifle.
A couple are running towards the ocean.,A couple are running towards the ocyean.
A woman is chopping a hard egg.,A woman is chopping a hard eyg.
Two robots share a kiss.,Two robots shareda kiss.
A cat is trying to touch a dog.,A cat ist ryin to touch a dog.
The rhino grazed on the grass.,The hino grazed on rthe grass.
The man drove his little red car around the traffic.,The mn drove his little red cavr around the traffic.
A man is cutting bread.,A man si cutting breaq.
A cat rapidly swats a kid in the head.,. cat rapidyl swats a kid in the headA
A cat is playing in a box.,A cat is plaoying in a box.
The couple danced in the church.,The couple dancen in the churhc.
A man is patting an alligator on the mouth.,A man is patvting an alligator onthe mouth.
A person checks some rice pudding.,A peson checks some rice pudding.
A woman is stirring two eggs in a glass bowl.,A xwoman is striring two eggs in a glass bowl.
The man is playing the drums.,The mxan s playing the drums.
A man is slicing a pepper.,A mani s slicing a peppre.
A woman is speaking in sign language.,A woman is speakingl in sign languaeg.
A boy is crawling into a dog house.,i boy is crawling into a dog housec.
The girl flew her kite while she ran up a hill.,The jirl flew her kit while she ran up a hill.
A woman is placing food in a pot of hot water.,A woman is placing food in a pot ofh ot waetr.
A small monkey walks through water., small monkey walks through watler.
A man is riding a bike.,A maf is riding a bikie.
A young man is singing and playing the piano.,A young man isgsingiung and playing the piano.
A boy takes off his sunglasses.,A boy aakespoff his sunglasses.
A girl is playing a piano.,A girl is playinyg ap iano.
The lady sliced a tomatoe.,The lad ysliced a tomatoe.
Someone is holding a hedgehog.,jomeone is olding a hedgehog.
A woman peels a potato.,A woqan peels a poyato.
A cat is drinking some water.,A cat is drinikng some water.
A person is putting salt and pepper on a piece of pork.,A person is putting alt and pepper on a piece of pork.
The man sat in his chair and stared.,Teh man sat in his chair ands tared.
A woman is dicing a potato.,A woman is dicing a pyotatoy
A baby is crawling happily.,A baby is crawling hppily.
A person is frying a meat in the pan.,A person is frying a meat in te pan.
A man is looking out of a window.,A man is lookinyzout of a window.
A man seated is playing the guitar.,A man seated is playing the euitar.
A woman is slicing an onion with a knife.,A woman is slicring an onion wifth a knife.
A rider is running and jumping her horse.,A rider is runinng and jumpinzg her horse.
A boy is playing a key-board.,A boy is playing a key-board.
Two men are fighting.,Two emn are fighting.
A man is playing a wooden flute while several other men play bongo drums.,A man is playing a wooden flute while severalrother men play bongo dums.
A person is petting a monkey.,A pers is petting a monkey.
Two cartoon rabbits are kissing.,Twocatoon rabbits are kissing.
The hedgehog chewed on the towel.,Thze hedgehog chewed on the towle.
A cat is licking himself.,A catiis licking himself
A small guinea pig is gnawing and eating a piece of carrot on the floor.,A small guinea pig is gbawing adn eating a piece of carrot on the floor.
Four boys are standing in front of the burning car.,Four boys are standing in front of the kburnnig car.
A man is smoking.,A manmis smokincg.
A woman is adding sauce to some food.,A woman is ading sauce to somef ood.
Three children are eating their food.,Three hildrn are eating their food.
A submarine is going through water.,A submarine is going through water
A man is running on a street.,A man is runring won a street.
A person is slicing an onion.,A person is slicint an onion.
A badger is digging in the dirt.,A badgger is digging in the dirt.
A woman is slicing big pepper.,A wozmav is slicing big pepper.
A man is riding a bicycle.,A man isk riing a bicycle.
A man and a woman are kissing each other.,A man and a woman aer kissinq each other.
A woman is slicing an onion.,A womwn is slicing an onion.
A small boy is playing with a dog.,A small boy is plyaing wit ha dog.
The man is drawing.,The mgan isddrawing.
A man is cutting a potato.,A man is cutting a optto.
A boy is playing a guitar.,A boy is palying a guita.
A woman is cutting an onion.,A woman is cutting zan onon.
A toy train is striking a toy car.,A toy traix is striking a toy car.
A man is playing the guitar.,A man is playing the guitar.
A cat opens a drawer and climbs inside.,A cat opens a drauwer anpd climbs inside.
A woman is frying a food.,Awwoman is frying a sfood.
A man is dicing an onion.,A man is dicing an onion.
A girl is playing a guitar.,A girl is playing a guitar.
A girl is singing on stage.,A girl is singing orn stage.
A woman is riding a horse.,zA woman is ridiong a horse.
A girl is playing a guitar.,A girl is playing a guitar.
A woman is brushing some shrimp.,A woman is rbushing some shrimp.
A man is dancing on the ceiling.,pA mann is dancing on the ceiling.
A woman thinly slices an onion with a large knife., womapn thinly slices an onion with a large knife.
A man is playing a keyboard.,Aaman is playing a keyboarqd.
A man plays the guitar.,A man plays tfhe guitar.
A woman is peeling a potato.,A woman is peeling a optato.
A woman is handling a frog.,A woman is handling a fog.
A man is playing a flute.,A mani s lpaying a flute.
A man is playing a guitar.,A man is playinga guitr.
A man is playing a piano.,A mna is playing a piano.
A man is playing a guitar.,Aman is playing a guxitar.
A man is playing a flute.,A man is playung a flute.
A man is playing a flute.,A mna is playgng a flute.
Two women are on a couch.,Two women are on a bcouch.
Someone is slicing a cucumber.,Someone is slicing a cucuvmber.
A kitten is playing with a blue rope toy.,A iqtten is playing with a blue rope toy.
The dog is barking at the toy.,Tye dog is barking at teh toy.
A person folds a tortilla.,A person folds a tlortilla.
A cat is drinking milk.,A fat si drinking milk.
